"keys","he"
"LOCAL3_EXTRAS_PRINTINTL","ההדפסה מתבצעת"
"LOCAL3_EXTRAS_PRINTINTX","נא המתינו שלגו פעלולים יסיים את בקשת ההדפסה שלכם."
"LOCAL4_LSBDLDTL","שגיאת הטענה"
"LOCAL4_LSBDLDTX","לגו פעלולים לא הצליח לטעון מהדיסק. נא לבדוק את הדיסק."
"LOCAL4_LSDLERTL","המחיקה לא בוצעה"
"LOCAL4_LSDLERTX","לא ניתן לבצע מחיקה. נא לבדוק שהדיסק או קובץ אינו מוגן מפני כתיבה."
"LS_CLSTEXT","האם ברצונכם לשמר או לטעון מסלול?"
"LS_CLSTITLE","שמירה או הטענה"
"LS_LDFTEXT","האם אתם בטוחים שברצונכם למחוק את המסלול הזה?"
"LS_LDFTITLE","אישור מחיקת מסלול"
"LS_LSETEXT","לגו סטאנט ראלי לא הצליח לשמור את המסלול שלכם. נא לבדוק את הדיסק."
"LS_LSETITLE","שמירת מסלול נכשלה!"
"LS_LSLCITY","עיר-ל"
"LS_LSLDESERT","מדבר-ל"
"LS_LSLICE","קוטב-ל"
"LS_LSLJUNGLE","ג'ונגל-ל"
"LS_LSOTEXT","מסלול עם בשם זה כבר קיים. האם ברצונכם לשמור מעל הקובץ הזה?"
"LS_LSOTITLE","אישור שמירה מעל קובץ קיים."
"LS_LSSCITY","עיר-ס"
"LS_LSSDESERT","מדבר-ס"
"LS_LSSICE","קוטב-ס"
"LS_LSSJUNGLE","ג'ונגל-ס"
"MM_MMCONSTR","בנייה"
"MM_MMQUTTTL","יציאה מלגו פעלולים"
"MM_MMQUTTXT","האם אתם בטוחים שאתם רוצים לצאת?"
"MM_MMRACE","מירוץ"
"MPTITLE","מספר השחקנים"
"OP_OPBALANCE","עוצמת מוזיקה"
"OP_OPCNTRTL","Controller Conflict"
"OP_OPCNTRTX","The same controller is assigned to more than one player. Please reselect controllers."
"OP_OPEFFECTS","אפקטים לוידאו"
"OP_OPPLAYER1","שחקן1"
"OP_OPPLAYER2","שחקן2"
"OP_OPPLAYER3","שחקן3"
"OP_OPPLAYER4","שחקן4"
"OP_OPRESCHNG","נא המתינו מספר רגעים בזמן שלגו פעלולים טוען מחדש."
"OP_OPRESOLUTION","רזולוציה"
"OP_OPRESTL","שינוי רזולוציה"
"OP_OPTITLE","אפשרויות משחק"
"OP_OPVOLUME","עוצמת אפקטים של סאונד"
"OP_RESFAILTL","שינוי רזולוציה נכשל"
"OP_RESFAILTX","לגו פעלולים אינו תומך ברזולוציה 800 על 600 במחשב שלכם."
"OTHER_HEADIN3P","לא ניתן לטעון מסלול"
"OTHER_IRDEMOMD","מצב הדגמה"
"OTHER_MULTI3P","מצטערים! לא ניתן להטעין מסלול זה בבנייה כי הוא מכיל חלקי לגו שעדיין לא זכיתם בהם. ניתן לשחק במסלול הזה במשחק עם מספר שחקנים."
"OTHER_NOTRAKTL","מסלולים לא נמצאו"
"OTHER_NOTRAKTX","אין מסלולי לגו פעלולים על הדיסק הזה."
"OTHER_SINGLE3P","מצטערים! לא ניתן להטעין מסלול זה בבנייה כי הוא מכיל חלקי לגו שעדיין לא זכיתם בהם. ניתן לשחק במסלול הזה בשמחק שחקן יחיד."
"PRCOMPUT","מחשב"
"PRPLAYER","שחקן"
"PRPLYR1","שחקן 1"
"PRPLYR2","שחקן 2"
"PRPLYR3","שחקן 3"
"PRPLYR4","שחקן 4"
"PRTITLE","מוכנים למירוץ"
"RACEMENU_PAUSECAP","עצירת משחק"
"RACEMENU_PAUSETEX","האם אתם רוצים שזה יפסק?"
"RACEMENU_RERUNCAP","סוף המירוץ"
"RACEMENU_RERUNTEX","לחצו X ליציאה, לצו שוב לנסות שוב"
"RM_RMCAMP","אליפות"
"RM_RMMULTI","מספר שחקנים"
"RM_RMQUICK","מירוץ מהיר"
"RM_RMSINGLE","שחקן יחיד"
"RM_RMTITLE","בחירת מירוץ"
"RO_ROCANCEL","חזור למירוץ"
"RO_ROQUIT","יציאה ממירוץ"
"RO_RORESTART","התחל מירוץ מהתחלה"
"RO_ROTITLE","אפשרויות מירוץ"
"TSTITLE","בחירת מסלול"
"WSTITLE","בחירת מכונית"
"WSTITLE1","שחקן 1: בחר מכונית"
"WSTITLE2","שחקן 2: בחר מכונית"
"WSTITLE3","שחקן 3: בחר מכונית"
"WSTITLE4","שחקן 4: בחר מכונית"
"WSTNEXT","שחקן הבא..."
