"keys","da"
"LOCAL3_EXTRAS_FNPRINTTTL","Udskrift afsluttet"
"LOCAL3_EXTRAS_FNPRINTTTX","Udskrift er gennemført"
"LOCAL3_EXTRAS_PRINTINTL","Udskrift i gang"
"LOCAL3_EXTRAS_PRINTINTX","Vent venligst, mens LEGO Stunt Rally bliver færdig med udskriften."
"LOCAL4_LSBDLDTL","Indlæsningsfejl"
"LOCAL4_LSBDLDTX","Stunt Rally kunne ikke indlæses fra din disk. Kontrollér venligst disken."
"LOCAL4_LSDLERTL","Fejl ved sletning"
"LOCAL4_LSDLERTX","Kunne ikke slette din bane. Kontrollér venligst, at disken eller filen ikke er skrivebeskyttet."
"LS_CLSTEXT","Do you wish to LOAD or SAVE a track?"
"LS_CLSTITLE","Load Or Save"
"LS_LDFTEXT","Er du sikker på, at du vil slette denne bane?"
"LS_LDFTITLE","Bekræft, at du vil slette banen"
"LS_LSETEXT","LEGO Stunt Rally kunne ikke gemme din bane. Kontrollér din disk"
"LS_LSETITLE","Fejl i banelagring!"
"LS_LSLCITY","LBy"
"LS_LSLDESERT","LØrken"
"LS_LSLICE","LArktisk"
"LS_LSLJUNGLE","LJungle"
"LS_LSOTEXT","Der eksisterer allerede en banefil med dette navn. Vil du overskrive filen?"
"LS_LSOTITLE","Bekræft overskrivning af bane"
"LS_LSSCITY","SBy"
"LS_LSSDESERT","SØrken"
"LS_LSSICE","SArktisk"
"LS_LSSJUNGLE","SJungle"
"MM_MMCONSTR","Bygning"
"MM_MMQUTTTL","Afslut LEGO Stunt Rally"
"MM_MMQUTTXT","Er du sikker på, at du vil afslutte?"
"MM_MMRACE","Væddeløb"
"MPTITLE","Antal spillere"
"OP_OPBALANCE","Musiklydstyrke"
"OP_OPCNTRTL","Controllerkonflikt"
"OP_OPCNTRTX","Samme controller er tildelt mere end én spiller. Vælg controllere igen."
"OP_OPEFFECTS","Videoeffekter"
"OP_OPPLAYER1","Spiller1"
"OP_OPPLAYER2","Spiller2"
"OP_OPPLAYER3","Spiller3"
"OP_OPPLAYER4","Spiller4"
"OP_OPRESCHNG","Vent et øjeblik, mens LEGO Stunt Rally bliver genstartet."
"OP_OPRESOLUTION","Opløsning"
"OP_OPRESTL","Vælg opløsning"
"OP_OPTITLE","Spilfunktioner"
"OP_OPVOLUME","Lydeffektstyrke"
"OP_RESFAILTL","Fejl i opløsningsændring"
"OP_RESFAILTX","LEGO Stunt Rally understøtter ikke en skærmopløsning på 800 x 600 på denne computer"
"OTHER_HEADIN3P","Kan ikke indlæse bane"
"OTHER_IRDEMOMD","Demo"
"OTHER_MULTI3P","Beklager, denne bane kan ikke indlæses på byggeskærmen, da den indeholder noget LEGO, du endnu ikke har vundet. Du kan kun køre på denne bane ved at indlæse den i spil for flere spillere."
"OTHER_NOTRAKTL","Ingen baner blev fundet"
"OTHER_NOTRAKTX","Beklager, der er ingen LEGO Stunt Rally-baner på denne disk."
"OTHER_SINGLE3P","Beklager, denne bane kan ikke indlæses på byggeskærmen, da den indeholder noget LEGO, du endnu ikke har vundet. Du kan kun køre på denne bane ved at indlæse den i spil for en enkelt spiller."
"PRCOMPUT","Computer"
"PRPLAYER","Spiller"
"PRPLYR1","Spiller 1"
"PRPLYR2","Spiller 2"
"PRPLYR3","Spiller 3"
"PRPLYR4","Spiller 4"
"PRTITLE","Klar til start"
"RACEMENU_PAUSECAP","Game Paused"
"RACEMENU_PAUSETEX","Do You Want It To Stop ?"
"RACEMENU_RERUNCAP","End of race"
"RACEMENU_RERUNTEX","Press x to quit, tick to retry"
"RM_RMCAMP","Mesterskab"
"RM_RMMULTI","Flere spillere"
"RM_RMQUICK","Hurtigløb"
"RM_RMSINGLE","Enkelt spiller"
"RM_RMTITLE","Vælg løb"
"RO_ROCANCEL","Tilbage til løb"
"RO_ROQUIT","Afslut løb"
"RO_RORESTART","Genstart løb"
"RO_ROTITLE","Løbsfunktioner"
"TSTITLE","Vælg en bane"
"WSTITLE","Vælg din bil"
"WSTITLE1","Spiller 1: Vælg din bil"
"WSTITLE2","Spiller 2: Vælg din bil"
"WSTITLE3","Spiller 3: Vælg din bil"
"WSTITLE4","Spiller 4: Vælg din bil"
"WSTNEXT","Next Player..."
