"keys","es"
"DISUFLAM","-- placeholder --
Car: Mean Machine
Home: Dark City
Loves: Cheating
Hates: Losing and Cherubs
Hobbies: Creating evil plans
Style: Dangerous
Special: Flaming exhaust"
"DISUGLAC","-- placeholder --
Glacia Info"
"DISULUCK","-- placeholder --
Lucky Info"
"DISUMEGA","-- placeholder --
Mega Hurtz Info"
"DISUMRX","-- placeholder --
Mr X Info"
"DISURADI","-- placeholder --
Radium Info"
"DISUSAND","-- placeholder --
Sandy Surf Info"
"DISUSID","-- placeholder --
Sid Info"
"DISUSNAK","-- placeholder --
Snake Info"
"DISUWREN","-- placeholder --
Wrench Info"
"DIWRENCH","Llave inglesa"
"ER_ERTEXT","¿Quieres repetir esta carrera?"
"ER_ERTITLE","¿Repetir carrera?"
"IR_IRRACEOVER","Fin carrera"
"IR_IRWINNER","Ganador"
"LOCAL3_EXTRAS_BDPRNTTL","Error al imprimir"
"LOCAL3_EXTRAS_BDPRNTTX","No se ha completado la impresión con éxito. Por favor, comprueba la impresora."
"LOCAL3_EXTRAS_CONDELTL","Confirmar borrar circuito"
"LOCAL3_EXTRAS_CONDELTX","¿Estás seguro de que quieres borrar este circuito para siempre?"
"LOCAL3_EXTRAS_CONSAFTL","Circuito guardado"
"LOCAL3_EXTRAS_CONSAFTX","Tu circuito se ha guardado sin problemas."
"LOCAL3_EXTRAS_FNPRINTTTL","Impresión finalizada"
"LOCAL3_EXTRAS_FNPRINTTTX","La impresión se ha completado."
"LOCAL3_EXTRAS_PRINTINTL","Imprimiendo"
"LOCAL3_EXTRAS_PRINTINTX","Por favor, espera mientras El Rally de los Valientes de LEGO completa tu solicitud de impresión."
"LOCAL4_LSBDLDTL","Error al cargar"
"LOCAL4_LSBDLDTX","No se ha podido cargar El Rally de los Valientes desde el disco. Compruebe el disco."
"LOCAL4_LSDLERTL","Error al eliminar"
"LOCAL4_LSDLERTX","Imposible eliminar pista. Compruebe que el disco o el archivo no están protegidos contra la escritura."
"LS_CLSTEXT","Do you wish to LOAD or SAVE a track?"
"LS_CLSTITLE","Load Or Save"
"LS_LDFTEXT","¿Estás seguro de que quieres borrar este circuito para siempre?"
"LS_LDFTITLE","Confirmar borrar circuito"
"LS_LSETEXT","El Rally de los Valientes de LEGO no ha podido guardar el circuito. Revisa el disco."
"LS_LSETITLE","¡Error al guardar circuito!"
"LS_LSLCITY","Lciudad"
"LS_LSLDESERT","Ldesierto"
"LS_LSLICE","Lártico"
"LS_LSLJUNGLE","Ljungla"
"LS_LSOTEXT","Ya existe un archivo de circuito con este nombre. ¿Quieres sobrescribir este archivo?"
"LS_LSOTITLE","Confirmar sobrescribir circuito"
"LS_LSSCITY","Sciudad"
"LS_LSSDESERT","Sdesierto"
"LS_LSSICE","Sártico"
"LS_LSSJUNGLE","Sjungla"
"MM_MMCONSTR","Construcción"
"MM_MMQUTTTL","Salir del juego"
"MM_MMQUTTXT","¿Seguro que quieres salir?"
"MM_MMRACE","Correr"
"MPTITLE","Número de jugadores"
"OP_OPBALANCE","Vol. música"
"OP_OPCNTRTL","Error en el controlador"
"OP_OPCNTRTX","Se ha asignado el mismo controlador a más de un jugador. Selecciona de nuevo los controladores."
"OP_OPEFFECTS","Efectos de vídeo"
"OP_OPPLAYER1","Jugador 1"
"OP_OPPLAYER2","Jugador 2"
"OP_OPPLAYER3","Jugador 3"
"OP_OPPLAYER4","Jugador 4"
"OP_OPRESCHNG","Espera un momento mientras El Rally de los Valientes de LEGO se reinicia."
"OP_OPRESOLUTION","Resolución"
"OP_OPRESTL","Cambiar resolución"
"OP_OPTITLE","Opciones de juego"
"OP_OPVOLUME","Vol. efecto sonido"
"OP_RESFAILTL","Error al cambiar la resolución"
"OP_RESFAILTX","El Rally de los Valientes de LEGO no es compatible con la resolución de pantalla 800x600 en este ordenador."
"OTHER_HEADIN3P","Imposible cargar circuito"
"OTHER_IRDEMOMD","Modo demo"
"OTHER_MULTI3P","No se puede cargar este circuito en construcción, ya que contiene piezas LEGO que aún no has ganado. Sólo puedes utilizarlo en la modalidad multijugador."
"OTHER_NOTRAKTL","Circuitos no encontrados"
"OTHER_NOTRAKTX","No hay circuitos de El Rally de los Valientes de LEGO en este disco"
"OTHER_SINGLE3P","No se puede cargar este circuito, ya que contiene piezas LEGO que aún no has ganado. Sólo puedes utilizarlo en la modalidad Un solo jugador."
"PRCOMPUT","Ordenador"
"PRPLAYER","Jugador"
"PRPLYR1","Jugador 1"
"PRPLYR2","Jugador 2"
"PRPLYR3","Jugador 3"
"PRPLYR4","Jugador 4"
"PRTITLE","Listo para correr"
"RACEMENU_PAUSECAP","Game Paused"
"RACEMENU_PAUSETEX","Do You Want It To Stop ?"
"RACEMENU_RERUNCAP","End of race"
"RACEMENU_RERUNTEX","Press x to quit, tick to retry"
"RM_RMCAMP","Campeonato"
"RM_RMMULTI","Multijugador"
"RM_RMQUICK","Carrera rápida"
"RM_RMSINGLE","Un solo jugador"
"RM_RMTITLE","Seleccionar carrera"
"RO_ROCANCEL","Regresar a la carrera"
"RO_ROQUIT","Salir de la carrera"
"RO_RORESTART","Empezar carrera de nuevo"
"RO_ROTITLE","Opciones de juego"
"TSTITLE","Elige un circuito"
"WSTITLE","Elige un coche"
"WSTITLE1","Jugador 1: Elige un coche"
"WSTITLE2","Jugador 2: Elige un coche"
"WSTITLE3","Jugador 3: Elige un coche"
"WSTITLE4","Jugador 4: Elige un coche"
"WSTNEXT","Next Player..."
