"keys","pt_BR"
"DISUGLAC","-- placeholder --Dados sobre Glacia"
"DISULUCK","-- placeholder --Dados sobre Lucky"
"DISUMEGA","-- placeholder --Dados sobre Mega Hurtz"
"DISUMRX","-- placeholder --Dados sobre Mr X"
"DISURADI","-- placeholder --Dados sobre Radium"
"DISUSAND","-- placeholder --Dados sobre Sandy Surf"
"DISUSID","-- placeholder --Dados sobre Sid"
"DISUSNAK","-- placeholder --Dados sobre Snake"
"DISUWREN","-- placeholder --Dados sobre Wrench"
"DIWRENCH","Wrench"
"ER_ERTEXT","Deseja correr novamente nesta pista?"
"ER_ERTITLE","Correr Novamente?"
"IR_IRRACEOVER","Corrida Encerrada"
"IR_IRWINNER","V e n c e d o r"
"LOCAL3_EXTRAS_BDPRNTTL","Erro na Impressão"
"LOCAL3_EXTRAS_BDPRNTTX","A impressão não foi completada com sucesso. Por favor, verifique sua impressora."
"LOCAL3_EXTRAS_CONDELTL","Confirmar Exclusão de Pista"
"LOCAL3_EXTRAS_CONDELTX","Tem certeza que quer apagar permanentemente esta pista?"
"LOCAL3_EXTRAS_CONSAFTL","Pista Salva"
"LOCAL3_EXTRAS_CONSAFTX","Sua pista foi salva com sucesso."
"LOCAL3_EXTRAS_FNPRINTTTL","Impressão Terminada"
"LOCAL3_EXTRAS_FNPRINTTTX","A impressão foi completada"
"LOCAL3_EXTRAS_PRINTINTL","Impressão em Andamento"
"LOCAL3_EXTRAS_PRINTINTX","Por favor, aguarde enquanto o LEGO Stunt Rally completa seu pedido de impressão."
"LOCAL4_LSBDLDTL","Erro ao Carregar"
"LOCAL4_LSBDLDTX","O Stunt Rally não pode carregar-lo a partir do seu disco. Por favor, verifique o disco."
"LOCAL4_LSDLERTL","Falha ao Apagar"
"LOCAL4_LSDLERTX","Não foi possível apagar sua pista. Por favor verifique se o disco ou arquivo não está protegido contra gravação."
"LS_CLSTEXT","Deseja CARREGAR ou SALVAR uma pista?"
"LS_CLSTITLE","Carregar ou Salvar"
"LS_LDFTEXT","Tem certeza que quer apagar esta pista?"
"LS_LDFTITLE","Confirmar Exclusão da Pista."
"LS_LSETEXT","O LEGO Stunt Rally não pôde salvar sua pista. Por favor, verifique seu disco."
"LS_LSETITLE","Falha ao Salvar Pista!"
"LS_LSLCITY","Cidade-G"
"LS_LSLDESERT","Deserto-G"
"LS_LSLICE","Ártico-G"
"LS_LSLJUNGLE","Selva-G"
"LS_LSOTEXT","Já existe um arquivo de pista com este nome. Deseja substituí-lo?"
"LS_LSOTITLE","Confirmar Substituição da Pista"
"LS_LSSCITY","Cidade-P"
"LS_LSSDESERT","Deserto-P"
"LS_LSSICE","Ártico-P"
"LS_LSSJUNGLE","Selva-P"
"MM_MMCONSTR","Construção"
"MM_MMQUTTTL","Sair do LEGO Stunt Rally"
"MM_MMQUTTXT","Tem certeza de que deseja sair?"
"MM_MMRACE","Corrida"
"MPTITLE","Número de jogadores"
"OP_OPBALANCE","Volume da Música"
"OP_OPCNTRTL","Conflito de Controle"
"OP_OPCNTRTX","O mesmo controle está designado para mais de um jogador. Por favor, selecione os controles novamente."
"OP_OPEFFECTS","Efeitos Visuais"
"OP_OPPLAYER1","Jogador1"
"OP_OPPLAYER2","Jogador2"
"OP_OPPLAYER3","Jogador3"
"OP_OPPLAYER4","Jogador4"
"OP_OPRESCHNG","Por favor, aguarde um instante enquanto o LEGO Stunt Rally é reiniciado."
"OP_OPRESOLUTION","Resolução"
"OP_OPRESTL","Mudar Resolução"
"OP_OPTITLE","Opções de Jogo"
"OP_OPVOLUME","Vol. dos Efeitos Sonoros"
"OP_RESFAILTL","Falha na Mudança de Resolução"
"OP_RESFAILTX","Desculpe, mas o LEGO Stunt Rally não pode usar resolução de tela de 800 X 600 neste computador."
"OTHER_HEADIN3P","Não é possível carregar Pista"
"OTHER_IRDEMOMD","Modo de Demonstração"
"OTHER_MULTI3P","Desculpe! Esta pista não pode ser carregada para construção, pois contém algumas peças LEGO que você ainda não ganhou. Você só pode jogar nesta pista carregando-a no modo para vários jogadores."
"OTHER_NOTRAKTL","Nenhuma Pista Encontrada"
"OTHER_NOTRAKTX","Desculpe, não há pistas do LEGO Stunt Rally neste disco."
"OTHER_SINGLE3P","Desculpe! Esta pista não pode ser carregada para construção, pois contém algumas peças LEGO que você ainda não ganhou. Você só pode jogar nesta pista carregando-a no modo para Um Jogador."
"PRCOMPUT","Computador"
"PRPLAYER","Jogador"
"PRPLYR1","Jogador 1"
"PRPLYR2","Jogador 2"
"PRPLYR3","Jogador 3"
"PRPLYR4","Jogador 4"
"PRTITLE","Pronto para correr"
"RACEMENU_PAUSECAP","Pausa"
"RACEMENU_PAUSETEX","Você Quer Parar?"
"RACEMENU_RERUNCAP","Fim da corrida"
"RACEMENU_RERUNTEX","Aperte o X para sair ou a marca de verificação para tentar de novo."
"RM_RMCAMP","Campeonato"
"RM_RMMULTI","Vários Jogadores"
"RM_RMQUICK","Corrida Rápida"
"RM_RMSINGLE","Um Jogador"
"RM_RMTITLE","Escolher corrida"
"RO_ROCANCEL","Continuar a corrida"
"RO_ROQUIT","Sair da Corrida"
"RO_RORESTART","Reiniciar Corrida"
"RO_ROTITLE","Opções de Corrida"
"TSTITLE","Escolha uma pista"
"WSTITLE","Escolha seu carro"
"WSTITLE1","Jogador 1: Escolha seu carro"
"WSTITLE2","Jogador 2: Escolha seu carro"
"WSTITLE3","Jogador 3: Escolha seu carro"
"WSTITLE4","Jogador 4: Escolha seu carro"
"WSTNEXT","Próximo Jogador..."
