"keys","nl"
"LOCAL3_EXTRAS_FNPRINTTTX","Het afdrukken is beëindigd"
"LOCAL3_EXTRAS_PRINTINTL","Bezig met afdrukken"
"LOCAL3_EXTRAS_PRINTINTX","LEGO Stunt Rally is bezig met het uitvoeren van een afdruktaak"
"LOCAL4_LSBDLDTL","Laadfout"
"LOCAL4_LSBDLDTX","Stuntrally kan niet laden vanaf de schijf. Controleer de schijf."
"LOCAL4_LSDLERTL","Verwijderen mislukt"
"LOCAL4_LSDLERTX","Kan deze baan niet verwijderen. Controleer of de schijf of het bestand tegen schrijven is beveiligd."
"LS_CLSTEXT","Do you wish to LOAD or SAVE a track?"
"LS_CLSTITLE","Load Or Save"
"LS_LDFTEXT","Weet je zeker dat je deze racebaan wilt verwijderen?"
"LS_LDFTITLE","Verwijderen racebaan bevestigen"
"LS_LSETEXT","LEGO Stuntrally kan je racebaan niet opslaan. Controleer de schijf."
"LS_LSETITLE","Opslaan mislukt!"
"LS_LSLCITY","LStad"
"LS_LSLDESERT","Lzand"
"LS_LSLICE","Lpool"
"LS_LSLJUNGLE","Ljungle"
"LS_LSOTEXT","Er bestaat al een racebaan met deze naam. Wil je dat bestand overschrijven?"
"LS_LSOTITLE","Bevestiging overschrijven baan"
"LS_LSSCITY","SStad"
"LS_LSSDESERT","Szand"
"LS_LSSICE","Spool"
"LS_LSSJUNGLE","Sjungle"
"MM_MMCONSTR","Constructie"
"MM_MMQUTTTL","LEGO Stuntrally afsluiten"
"MM_MMQUTTXT","Weet je zeker dat je het spel wilt afsluiten?"
"MM_MMRACE","Racen"
"MPTITLE","Aantal spelers"
"OP_OPBALANCE","Volume muziek"
"OP_OPCNTRTL","Bedieningsconflict"
"OP_OPCNTRTX","Meerdere spelers hebben dezelfde bedieningswjize gekregen. Kies de bedieningswijze opnieuw."
"OP_OPEFFECTS","Video-effecten"
"OP_OPPLAYER1","Speler 1"
"OP_OPPLAYER2","Speler 2"
"OP_OPPLAYER3","Speler 3"
"OP_OPPLAYER4","Speler 4"
"OP_OPRESCHNG","Een ogenblik geduld. LEGO Stuntrally wordt opnieuw opgestart."
"OP_OPRESOLUTION","Resolutie"
"OP_OPRESTL","Resolutie wijzigen"
"OP_OPTITLE","Spelopties"
"OP_OPVOLUME","Vol. geluidseffecten"
"OP_RESFAILTL","Fout bij wijzigen resolutie"
"OP_RESFAILTX","Sorry, LEGO Stuntrally ondersteunt de schermresolutie 800 x 600 niet op deze computer."
"OTHER_HEADIN3P","Kan de racebaan niet laden"
"OTHER_IRDEMOMD","Demonstratie"
"OTHER_MULTI3P","Deze racebaan kan niet worden geladen in de constructiemodus. Ze bevat LEGO die je nog niet hebt gewonnen. Je kunt deze baan alleen in een race voor meerdere spelers gebruiken."
"OTHER_NOTRAKTL","Er zijn geen banen gevonden"
"OTHER_NOTRAKTX","Er bevinden zich geen LEGO Stuntrallybanen op deze schijf"
"OTHER_SINGLE3P","Deze racebaan kan niet worden geladen in de constructiemodus. Ze bevat LEGO die je nog niet hebt gewonnen. Je kunt deze baan alleen in een race voor één speler gebruiken."
"PRCOMPUT","Computer"
"PRPLAYER","Speler"
"PRPLYR1","Speler 1"
"PRPLYR2","Speler 2"
"PRPLYR3","Speler 3"
"PRPLYR4","Speler 4"
"PRTITLE","Klaar voor de start"
"RACEMENU_PAUSECAP","Game Paused"
"RACEMENU_PAUSETEX","Do You Want It To Stop ?"
"RACEMENU_RERUNCAP","End of race"
"RACEMENU_RERUNTEX","Press x to quit, tick to retry"
"RM_RMCAMP","Kampioenschap"
"RM_RMMULTI","Meerdere spelers"
"RM_RMQUICK","Snelle race"
"RM_RMSINGLE","Een speler"
"RM_RMTITLE","Race kiezen"
"RO_ROCANCEL","Terug naar race"
"RO_ROQUIT","Race afsluiten"
"RO_RORESTART","Race opnieuw starten"
"RO_ROTITLE","Raceopties"
"TSTITLE","Kies een racebaan"
"WSTITLE","Kies een auto"
"WSTITLE1","Speler 1: kies een auto"
"WSTITLE2","Speler 2: kies een auto"
"WSTITLE3","Speler 3: kies een auto"
"WSTITLE4","Speler 4: kies een auto"
"WSTNEXT","Next Player..."
