"keys","sv"
"LOCAL3_EXTRAS_PRINTINTX","Vänta medan Lego Stuntrally gör klart utskriften."
"LOCAL4_LSBDLDTL","Laddningsfel"
"LOCAL4_LSBDLDTX","Stunt Rally laddades inte från skivan. Kontrollera skivan'"
"LOCAL4_LSDLERTL","Raderingsfel"
"LOCAL4_LSDLERTX","Kan inte radera banan. Se om skivan eller filen är skrivskyddad."
"LS_CLSTEXT","Do you wish to LOAD or SAVE a track?"
"LS_CLSTITLE","Load Or Save"
"LS_LDFTEXT","Vill du ta bort denna bana?"
"LS_LDFTITLE","Bekräfta borttagning av banan"
"LS_LSETEXT","LEGO Stunt Rally kunde inte spara din bana. Kontrollera din hårddisk."
"LS_LSETITLE","Banan kunde inte sparas!"
"LS_LSLCITY","LStorstad"
"LS_LSLDESERT","LÖken"
"LS_LSLICE","LArktisk"
"LS_LSLJUNGLE","LDjungel"
"LS_LSOTEXT","Det finns redan en bana med det namnet. Vill du ersätta den filen?"
"LS_LSOTITLE","Bekräfta ersättning av banan"
"LS_LSSCITY","SStorstad"
"LS_LSSDESERT","SÖken"
"LS_LSSICE","SArktisk"
"LS_LSSJUNGLE","SDjungel"
"MM_MMCONSTR","Konstruktion"
"MM_MMQUTTTL","Avsluta LEGO Stunt Rally"
"MM_MMQUTTXT","Vill du avsluta spelet?"
"MM_MMRACE","Racertävling"
"MPTITLE","Antal spelare"
"OP_OPBALANCE","Musikvolym"
"OP_OPCNTRTL","Kontrollkonflikt"
"OP_OPCNTRTX","Mer än en spelare har tilldelats samma kontroll. Välj kontroller igen."
"OP_OPEFFECTS","Videoeffekter"
"OP_OPPLAYER1","Spelare1"
"OP_OPPLAYER2","Spelare2"
"OP_OPPLAYER3","Spelare3"
"OP_OPPLAYER4","Spelare4"
"OP_OPRESCHNG","Vänta en liten stund medan LEGO Stunt Rally startas om."
"OP_OPRESOLUTION","Upplösning"
"OP_OPRESTL","Ändra upplösningen"
"OP_OPTITLE","Spelalternativ"
"OP_OPVOLUME","Ljudeffektsvolym"
"OP_RESFAILTL","Fel vid ändring av upplösning"
"OP_RESFAILTX","LEGO Stunt Rally stöder inte datorns skärmupplösning på 800 x 600"
"OTHER_HEADIN3P","Det gick inte att läsa in banan"
"OTHER_IRDEMOMD","Demo-läge"
"OTHER_MULTI3P","Denna bana kan tyvärr inte läsas in i konstruktionen eftersom den består av LEGO som du ännu inte har vunnit. Du kan endast köra på denna bana om du läser in den i ett spel för flera spelare."
"OTHER_NOTRAKTL","Ingen bana hittades"
"OTHER_NOTRAKTX","Det finns tyvärr inga LEGO Stunt Rally-banor på denna disk"
"OTHER_SINGLE3P","Denna bana kan tyvärr inte läsas in i konstruktionen eftersom den består av LEGO som du ännu inte har vunnit. Du kan endast köra på denna bana om du läser in den i ett spel för en spelare."
"PRCOMPUT","Dator"
"PRPLAYER","Spelare"
"PRPLYR1","Spelare 1"
"PRPLYR2","Spelare 2"
"PRPLYR3","Spelare 3"
"PRPLYR4","Spelare 4"
"PRTITLE","Redo att starta racerloppet"
"RACEMENU_PAUSECAP","Game Paused"
"RACEMENU_PAUSETEX","Do You Want It To Stop ?"
"RACEMENU_RERUNCAP","End of race"
"RACEMENU_RERUNTEX","Press x to quit, tick to retry"
"RM_RMCAMP","Mästerskap"
"RM_RMMULTI","Flera spelare"
"RM_RMQUICK","Snabblopp"
"RM_RMSINGLE","En spelare"
"RM_RMTITLE","Välj racerlopp"
"RO_ROCANCEL","Återgå till racerloppet"
"RO_ROQUIT","Avsluta racerloppet"
"RO_RORESTART","Starta om racerloppet"
"RO_ROTITLE","Racerloppsalternativ"
"TSTITLE","Välj bana"
"WSTITLE","Välj bil"
"WSTITLE1","Spelare 1: Välj bil"
"WSTITLE2","Spelare 2: Välj bil"
"WSTITLE3","Spelare 3: Välj bil"
"WSTITLE4","Spelare 4: Välj bil"
"WSTNEXT","Next Player..."
