"keys","ru"
"RM_RMQUICK","Быстрые гонки"
"RM_RMSINGLE","Один игрок"
"RM_RMTITLE","Выбор гонок"
"RO_ROCANCEL","Вернуться в гонки"
"RO_ROQUIT","Выйти из гонок"
"RO_RORESTART","Начать гонки заново"
"RO_ROTITLE","Настройка гонок"
"TSTITLE","Выбери трассу"
"WSTITLE","Выбери машину"
"WSTITLE1","1 игрок: Выбери машину"
"WSTITLE2","2 игрок: Выбери машину"
"WSTITLE3","3 игрок: Выбери машину"
"WSTITLE4","4 игрок: Выбери машину"
"WSTNEXT","Следующий Игрок..."
