"keys","it"
"ER_ERTEXT","Vuoi ripetere questa gara?"
"ER_ERTITLE","Vuoi ripetere la gara?"
"IR_IRRACEOVER","Gara terminata"
"IR_IRWINNER","Vincitore"
"LOCAL3_EXTRAS_BDPRNTTL","Errore di stampa"
"LOCAL3_EXTRAS_BDPRNTTX","La stampa non è stata completata correttamente. Controlla la tua stampante."
"LOCAL3_EXTRAS_CONDELTL","Conferma eliminazione tracciato"
"LOCAL3_EXTRAS_CONDELTX","Sei sicuro di voler eliminare questo tracciato?"
"LOCAL3_EXTRAS_CONSAFTL","Circuito salvato"
"LOCAL3_EXTRAS_CONSAFTX","Il tuo circuito è stato salvato correttamente."
"LOCAL3_EXTRAS_FNPRINTTTL","Stampa completata"
"LOCAL3_EXTRAS_FNPRINTTTX","La stampa è stata completata."
"LOCAL3_EXTRAS_PRINTINTL","Stampa in corso"
"LOCAL3_EXTRAS_PRINTINTX","Attendi finché LEGO Stunt Rally non completa la stampa in corso."
"LOCAL4_LSBDLDTL","Errore di caricamento"
"LOCAL4_LSBDLDTX","Stunt Rally non è stato in grado di caricare dal tuo disco. Faresti meglio a verificarlo."
"LOCAL4_LSDLERTL","Errore di cancellazione"
"LOCAL4_LSDLERTX","Non è stato possibile rimuovere la tua pista. Verifica che il file su disco non sia protetto da scrittura."
"LS_CLSTEXT","Do you wish to LOAD or SAVE a track?"
"LS_CLSTITLE","Load Or Save"
"LS_LDFTEXT","Sei sicuro di voler eliminare definitivamente questo circuito?"
"LS_LDFTITLE","Conferma eliminazione circuito"
"LS_LSETEXT","LEGO Stunt Rally non ha potuto salvare il tuo tracciato. Controlla lo spazio su disco."
"LS_LSETITLE","Impossibile salvare tracciato"
"LS_LSLCITY","LCittà"
"LS_LSLDESERT","LDeserto"
"LS_LSLICE","LGhiacci"
"LS_LSLJUNGLE","LGiungla"
"LS_LSOTEXT","Esiste già un tracciato con questo nome. Vuoi sovrascrivere il file?"
"LS_LSOTITLE","Conferma sovrascrittura tracciato"
"LS_LSSCITY","SCittà"
"LS_LSSDESERT","SDeserto"
"LS_LSSICE","SGhiacci"
"LS_LSSJUNGLE","SGiungla"
"MM_MMCONSTR","Costruzione"
"MM_MMQUTTTL","Esci da LEGO Stunt Rally"
"MM_MMQUTTXT","Sei sicuro di voler uscire?"
"MM_MMRACE","Gara"
"MPTITLE","Numero di giocatori"
"OP_OPBALANCE","Volume musica"
"OP_OPCNTRTL","Conflitto nei controlli"
"OP_OPCNTRTX","La stessa periferica di controllo è stata assegnata a più giocatori. Riseleziona le periferiche di controllo."
"OP_OPEFFECTS","Effetti video"
"OP_OPPLAYER1","Giocatore 1"
"OP_OPPLAYER2","Giocatore 2"
"OP_OPPLAYER3","Giocatore 3"
"OP_OPPLAYER4","Giocatore 4"
"OP_OPRESCHNG","Aspetta qualche istante, mentre LEGO Stunt Rally viene riavviato."
"OP_OPRESOLUTION","Risoluzione"
"OP_OPRESTL","Cambia risoluzione"
"OP_OPTITLE","Opzioni di gioco"
"OP_OPVOLUME","Volume effetti sonori"
"OP_RESFAILTL","Impossibile cambio risoluzione"
"OP_RESFAILTX","LEGO Stunt Rally non è in grado di supportare la
risoluzione dello schermo 800x600 su questo computer."
"OTHER_HEADIN3P","Impossibile caricare tracciato"
"OTHER_IRDEMOMD","Modalità Demo"
"OTHER_MULTI3P","Questo tracciato non può essere caricato nella modalità Costruzione, in quanto contiene dei pezzi di LEGO che non hai ancora vinto. Puoi solo gareggiare su questo circuito caricandolo in modalità multigiocatore."
"OTHER_NOTRAKTL","Impossibile trovare un tracciato"
"OTHER_NOTRAKTX","Su questo disco non ci sono tracciati di LEGO Stunt Rally"
"OTHER_SINGLE3P","Questo tracciato non può essere caricato nella modalità Costruzione, in quanto contiene dei pezzi di LEGO che non hai ancora vinto. Puoi solo gareggiare su questo circuito caricandolo in modalità singolo giocatore."
"PRCOMPUT","Computer"
"PRPLAYER","Giocatore"
"PRPLYR1","Giocatore 1"
"PRPLYR2","Giocatore 2"
"PRPLYR3","Giocatore 3"
"PRPLYR4","Giocatore 4"
"PRTITLE","Pronto a gareggiare"
"RACEMENU_PAUSECAP","Game Paused"
"RACEMENU_PAUSETEX","Do You Want It To Stop ?"
"RACEMENU_RERUNCAP","End of race"
"RACEMENU_RERUNTEX","Press x to quit, tick to retry"
"RM_RMCAMP","Campionato"
"RM_RMMULTI","Multigiocatore"
"RM_RMQUICK","Gara rapida"
"RM_RMSINGLE","Singolo giocatore"
"RM_RMTITLE","Seleziona gara"
"RO_ROCANCEL","Torna alla gara"
"RO_ROQUIT","Esci dalla gara"
"RO_RORESTART","Riavvia gara"
"RO_ROTITLE","Opzioni di gara"
"TSTITLE","Scegli un tracciato"
"WSTITLE","Scegli la vettura"
"WSTITLE1","Giocatore 1: scegli la vettura"
"WSTITLE2","Giocatore 2: scegli la vettura"
"WSTITLE3","Giocatore 3: scegli la vettura"
"WSTITLE4","Giocatore 4: scegli la vettura"
"WSTNEXT","Next Player..."
