"keys","de"
"OTHER_SINGLE3P","Strecke kann im Streckenbau-Modus nicht geladen werden:  Sie enthält LEGO-Elemente, die du erst gewinnen musst.  Du kannst die Strecke nur spielen, wenn du sie im Einzelspieler-Modus lädst."
"PRCOMPUT","Computer"
"PRPLAYER","Spieler"
"PRPLYR1","Spieler 1"
"PRPLYR2","Spieler 2"
"PRPLYR3","Spieler 3"
"PRPLYR4","Spieler 4"
"PRTITLE","Startklar"
"RACEMENU_PAUSECAP","Game Paused"
"RACEMENU_PAUSETEX","Do You Want It To Stop ?"
"RACEMENU_RERUNCAP","End of race"
"RACEMENU_RERUNTEX","Press x to quit, tick to retry"
"RM_RMCAMP","Meisterschaft"
"RM_RMMULTI","Mehrspieler"
"RM_RMQUICK","Kurz-Rennen"
"RM_RMSINGLE","Einzelspieler"
"RM_RMTITLE","Rennen auswählen"
"RO_ROCANCEL","Zurück zum Rennen"
"RO_ROQUIT","Rennen beenden"
"RO_RORESTART","Rennen neu starten"
"RO_ROTITLE","Renn-Optionen"
"TSTITLE","Wähle eine Rennstrecke"
"WSTITLE","Wähle dein Fahrzeug"
"WSTITLE1","Spieler 1: Wähle dein Fahrzeug"
"WSTITLE2","Spieler 2: Wähle dein Fahrzeug"
"WSTITLE3","Spieler 3: Wähle dein Fahrzeug"
"WSTITLE4","Spieler 4: Wähle dein Fahrzeug"
"WSTNEXT","Next Player..."
